id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
10,0.5,0.5,0.5,0.7,0.5,0.7,0.3,0.5,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7
11,0.1,0.5,0.5,0.7,0.5,0.7,0.5,0.5,0.5,0.7,0.1,0.5,0.5,0.7,0.5,0.7,0.3,0.7,0.5,0.5,0.3,0.5,0.3,0.5,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.5,0.3,0.5,0.5,0.3,0.3,0.5
12,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9
13,0.5,0.5,0.1,0.5,0.3,0.1,0.1,0.1,0.3,0.1,0.5,0.5,0.5,0.5,0.5,0.3,0.7,0.3,0.3,0.7,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.7
14,0.5,0.1,0.1,0.5,0.3,0.1,0.1,0.5,0.3,0.7,0.5,0.5,0.5,0.5,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.7
15,0.5,0.3,0.1,0.1,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.3,0.3,0.5,0.7,0.5,0.5,0.5,0.5,0.7
16,0.3,0.5,0.3,0.5,0.5,0.5,0.7,0.3,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7
17,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9
18,0.5,0.5,0.5,0.1,0.5,0.5,0.7,0.5,0.7,0.5,0.5,0.5,0.3,0.3,0.7,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.7,0.5,0.3,0.5,0.3,0.3,0.5,0.5,0.3,0.5,0.5,0.5,0.1,0.7,0.7,0.9,0.7,0.3,0.5
19,0.5,0.5,0.5,0.7,0.7,0.7,0.5,0.5,0.7,0.5,0.7,0.7,0.5,0.7,0.7,0.3,0.5,0.3,0.5,0.7,0.5,0.3,0.7,0.3,0.5,0.5,0.5,0.5,0.3,0.5,0.3,0.5,0.3,0.5,0.3,0.5,0.3,0.7,0.3,0.5,0.7
20,0.7,0.3,0.3,0.5,0.5,0.7,0.3,0.5,0.5,0.5,0.7,0.3,0.5,0.5,0.5,0.1,0.3,0.5,0.5,0.7,0.7,0.7,0.3,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.3,0.7,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.3
21,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.5,0.3,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.7
22,0.5,0.5,0.5,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.3,0.7,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.9
23,0.5,0.5,0.5,0.7,0.7,0.5,0.3,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.7,0.5,0.5,0.5,0.5,0.7,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.7,0.7,0.7,0.7,0.7,0.5,0.5,0.9
24,0.5,0.5,0.5,0.3,0.3,0.5,0.1,0.3,0.3,0.3,0.5,0.5,0.7,0.7,0.5,0.3,0.5,0.5,0.5,0.7,0.5,0.3,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.7,0.9,0.5,0.5,0.7,0.5
25,0.5,0.5,0.5,0.7,0.5,0.7,0.5,0.3,0.3,0.5,0.5,0.5,0.7,0.7,0.5,0.3,0.5,0.3,0.7,0.5,0.5,0.7,0.3,0.5,0.3,0.3,0.5,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.5
26,0.5,0.3,0.5,0.5,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.7,0.7,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.3,0.3,0.5,0.5,0.5,0.7,0.7,0.7,0.9,0.7,0.7,0.9,0.7
27,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.7,0.9,0.7,0.7,0.7,0.7,0.7,0.9
28,0.5,0.5,0.3,0.5,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.5,0.5,0.5,0.9
